iter	Passed	Remaining
1296	20070	103724
1297	20088	103725
1298	20107	103728
1299	20127	103732
1300	20145	103730
1301	20164	103731
1302	20182	103730
1303	20200	103728
1304	20218	103727
1305	20237	103726
1306	20255	103725
1307	20273	103725
1308	20292	103725
1309	20309	103719
1310	20328	103718
1311	20346	103719
1312	20365	103718
1313	20383	103717
1314	20401	103711
1315	20419	103712
1316	20438	103710
1317	20456	103709
1318	20474	103709
1319	20493	103708
1320	20511	103707
1321	20529	103704
1322	20548	103704
1323	20567	103708
1324	20586	103707
1325	20604	103705
1326	20623	103706
1327	20642	103707
1328	20660	103704
1329	20678	103704
1330	20697	103702
1331	20715	103702
1332	20734	103702
1333	20752	103702
1334	20771	103703
1335	20791	103707
1336	20809	103705
1337	20828	103704
1338	20846	103703
1339	20864	103700
1340	20883	103698
1341	20901	103696
1342	20919	103696
1343	20938	103694
1344	20956	103693
1345	20974	103690
1346	20993	103687
1347	21011	103686
1348	21030	103688
1349	21049	103686
1350	21068	103688
1351	21087	103688
1352	21105	103685
1353	21123	103684
1354	21142	103683
1355	21160	103680
1356	21178	103678
1357	21197	103676
1358	21215	103674
1359	21233	103668
1360	21252	103668
1361	21270	103665
1362	21288	103662
1363	21306	103658
1364	21324	103655
1365	21341	103646
1366	21361	103649
1367	21380	103649
1368	21398	103646
1369	21416	103645
1370	21433	103635
1371	21450	103625
1372	21469	103625
1373	21487	103620
1374	21505	103617
1375	21523	103611
1376	21541	103610
1377	21558	103601
1378	21577	103601
1379	21596	103599
1380	21615	103599
1381	21633	103595
1382	21652	103594
1383	21670	103591
1384	21688	103588
1385	21706	103584
1386	21725	103581
1387	21743	103578
1388	21762	103578
1389	21781	103579
1390	21800	103577
1391	21818	103575
1392	21836	103571
1393	21855	103569
1394	21873	103566
1395	21891	103563
1396	21910	103559
1397	21928	103555
1398	21946	103552
1399	21962	103539
1400	21981	103536
1401	22000	103538
1402	22019	103536
1403	22038	103535
1404	22057	103535
1405	22073	103522
1406	22092	103521
1407	22110	103518
1408	22128	103512
1409	22147	103510
