Training X size: (10000, 300)
Trial 430: Permutated mmd = 0.000595049504950927
Trial 431: Permutated mmd = 0.0005950495049509288
Trial 432: Permutated mmd = 0.0005950495049509354
Trial 433: Permutated mmd = 0.0005950495049484417
Trial 434: Permutated mmd = 0.000595049504950929
Trial 435: Permutated mmd = 0.0005950495049509369
Trial 436: Permutated mmd = 0.0005950495049483457
Trial 437: Permutated mmd = 0.000595049504950913
Trial 438: Permutated mmd = 0.0005950495049509346
Trial 439: Permutated mmd = 0.0005950495049509303
Trial 440: Permutated mmd = 0.0005950495049483387
Trial 441: Permutated mmd = 0.0005950495049483468
Trial 442: Permutated mmd = 0.0005950495049483447
Trial 443: Permutated mmd = 0.0005950495049509306
Trial 444: Permutated mmd = 0.0005950495049483499
Trial 445: Permutated mmd = 0.0005950495049510272
Trial 446: Permutated mmd = 0.00059504950495091
Trial 447: Permutated mmd = 0.000595049504950935
Trial 448: Permutated mmd = 0.0005950495049483497
Trial 449: Permutated mmd = 0.0005950495049509308
Trial 450: Permutated mmd = 0.000595049504950928
Trial 451: Permutated mmd = 0.0005950495049483386
Trial 452: Permutated mmd = 0.0005950495049509311
Trial 453: Permutated mmd = 0.000595049504948338
Trial 454: Permutated mmd = 0.0005950495049483226
Trial 455: Permutated mmd = 0.0005950495049509441
Trial 456: Permutated mmd = 0.0005950495049509331
Trial 457: Permutated mmd = 0.0005950495049509084
Trial 458: Permutated mmd = 0.0005950495049611432
Trial 459: Permutated mmd = 0.0005950495049509352
Trial 460: Permutated mmd = 0.0005950495049509352
Trial 461: Permutated mmd = 0.0005950495049509337
Trial 462: Permutated mmd = 0.0005950495049509352
Trial 463: Permutated mmd = 0.0005950495049509346
Trial 464: Permutated mmd = 0.0005950495049509354
Trial 465: Permutated mmd = 0.0005950495049483655
Trial 466: Permutated mmd = 0.0005950495049509303
Trial 467: Permutated mmd = 0.000595049504950936
Trial 468: Permutated mmd = 0.0005950495049483456
Trial 469: Permutated mmd = 0.0005950495049509073
Trial 470: Permutated mmd = 0.0005950495049509353
Trial 471: Permutated mmd = 0.0005950495049483393
Trial 472: Permutated mmd = 0.0005950495049509099
Trial 473: Permutated mmd = 0.0005950495049509352
Trial 474: Permutated mmd = 0.000595049504950931
Trial 475: Permutated mmd = 0.0005950495049509356
Trial 476: Permutated mmd = 0.0005950495049509242
Trial 477: Permutated mmd = 0.0005950495049509341
Trial 478: Permutated mmd = 0.0005950495049483193
Trial 479: Permutated mmd = 0.0005950495049483416
Trial 480: Permutated mmd = 0.0005950495049509283
Trial 481: Permutated mmd = 0.000595049504948349
Trial 482: Permutated mmd = 0.0005950495049509393
Trial 483: Permutated mmd = 0.00059504950494835
Trial 484: Permutated mmd = 0.0005950495049509291
Trial 485: Permutated mmd = 0.0005950495049509273
Trial 486: Permutated mmd = 0.0005950495049483219
Trial 487: Permutated mmd = 0.0005950495049509356
Trial 488: Permutated mmd = 0.000595049504950928
Trial 489: Permutated mmd = 0.0005950495049509339
Trial 490: Permutated mmd = 0.0005950495049509327
Trial 491: Permutated mmd = 0.0005950495049509313
Trial 492: Permutated mmd = 0.0005950495049483431
Trial 493: Permutated mmd = 0.000595049504950935
Trial 494: Permutated mmd = 0.0005950495049509086
Trial 495: Permutated mmd = 0.0005950495049483134
Trial 496: Permutated mmd = 0.0005950495049510266
Trial 497: Permutated mmd = 0.0005950495049509357
Trial 498: Permutated mmd = 0.000595049504950933
Trial 499: Permutated mmd = 0.0005950495049509343
Trial 500: Permutated mmd = 0.0005950495049509344
Trial 501: Permutated mmd = 0.0005950495049509295
Trial 502: Permutated mmd = 0.0005950495049509342
Trial 503: Permutated mmd = 0.0005950495049509044
Trial 504: Permutated mmd = 0.0005950495049509334
Trial 505: Permutated mmd = 0.0005950495049483466
Trial 506: Permutated mmd = 0.0005950495049509066
Trial 507: Permutated mmd = 0.0005950495049483444
Trial 508: Permutated mmd = 0.0005950495049483471
Trial 509: Permutated mmd = 0.0005950495049483182
Trial 510: Permutated mmd = 0.0005950495049509275
Trial 511: Permutated mmd = 0.00059504950495093
Trial 512: Permutated mmd = 0.0005950495049509343
Trial 513: Permutated mmd = 0.0005950495049509146
Trial 514: Permutated mmd = 0.0005950495049509131
Trial 515: Permutated mmd = 0.0005950495049509253
Trial 516: Permutated mmd = 0.0005950495049483709
Trial 517: Permutated mmd = 0.0005950495049483191
Trial 518: Permutated mmd = 0.0005950495049611395
Trial 519: Permutated mmd = 0.0005950495049509362
Trial 520: Permutated mmd = 0.0005950495049483498
Trial 521: Permutated mmd = 0.0005950495049509178
Trial 522: Permutated mmd = 0.000595049504950933
Trial 523: Permutated mmd = 0.0005950495049509355
Trial 524: Permutated mmd = 0.0005950495049509355
Trial 525: Permutated mmd = 0.0005950495049509358
Trial 526: Permutated mmd = 0.0005950495049509317
Trial 527: Permutated mmd = 0.0005950495049509363
Trial 528: Permutated mmd = 0.0005950495049483225
Trial 529: Permutated mmd = 0.0005950495049483504
Trial 530: Permutated mmd = 0.0005950495049509315
Trial 531: Permutated mmd = 0.0005950495049509355
Trial 532: Permutated mmd = 0.0005950495049509097
Trial 533: Permutated mmd = 0.0005950495049509513
Trial 534: Permutated mmd = 0.000595049504948344
Trial 535: Permutated mmd = 0.0005950495049483444
Trial 536: Permutated mmd = 0.0005950495049483392
Trial 537: Permutated mmd = 0.0005950495049483396
Trial 538: Permutated mmd = 0.0005950495049483494
Trial 539: Permutated mmd = 0.0005950495049509081
Trial 540: Permutated mmd = 0.0005950495049483652
Trial 541: Permutated mmd = 0.0005950495049509256
Trial 542: Permutated mmd = 0.000595049504950936
Trial 543: Permutated mmd = 0.0005950495049510264
Trial 544: Permutated mmd = 0.000595049504948315
Trial 545: Permutated mmd = 0.0005950495049509332
Trial 546: Permutated mmd = 0.0005950495049509351
Trial 547: Permutated mmd = 0.0005950495049483468
Trial 548: Permutated mmd = 0.0005950495049483185
